series,rounds,window,n_years,n_round_targets,mean,within_sd,disagreement,total_sd,iqr,q95,threshold,probability_lower,probability_upper
US three years ahead,all (equal year weight),2010–19,10,40,2.3629647507138434,1.2957501195353984,0.5415106815230957,1.407864138379432,1.642628047352383,4.54285873023338,10.0,0.0,0.007165104151025304
US three years ahead,all (equal year weight),2023–26,4,15,1.8982388402547965,1.510848336450198,0.45113354938908523,1.5807688366125905,1.5707555521055612,4.1783604387988635,3.0,0.0525013222321063,0.2829878586780396
US three years ahead,all (equal year weight),2023–26,4,15,1.8982388402547965,1.510848336450198,0.45113354938908523,1.5807688366125905,1.5707555521055612,4.1783604387988635,4.0,0.0525013222321063,0.0525013222321063
US three years ahead,all (equal year weight),2023–26,4,15,1.8982388402547965,1.510848336450198,0.45113354938908523,1.5807688366125905,1.5707555521055612,4.1783604387988635,5.0,0.006278936595883934,0.0525013222321063
US three years ahead,all (equal year weight),2023–26,4,15,1.8982388402547965,1.510848336450198,0.45113354938908523,1.5807688366125905,1.5707555521055612,4.1783604387988635,10.0,6.200216450215774e-05,0.00021719194115363605
ECB longer term,all (equal year weight),2006–09,4,16,2.0247391588013586,0.661515222676132,0.26686786313003974,0.7150945341797237,0.8229559978335276,3.1912580212173944,3.0,0.06950446525191213,0.06950446525191213
ECB longer term,all (equal year weight),2006–09,4,16,2.0247391588013586,0.661515222676132,0.26686786313003974,0.7150945341797237,0.8229559978335276,3.1912580212173944,4.0,0.005400686236912863,0.005400686236912863
ECB longer term,all (equal year weight),2006–09,4,16,2.0247391588013586,0.661515222676132,0.26686786313003974,0.7150945341797237,0.8229559978335276,3.1912580212173944,5.0,0.0,0.005400686236912863
ECB longer term,all (equal year weight),2006–09,4,16,2.0247391588013586,0.661515222676132,0.26686786313003974,0.7150945341797237,0.8229559978335276,3.1912580212173944,10.0,0.0,0.005400686236912863
ECB longer term,all (equal year weight),2010–14,5,20,1.7747845644802716,0.7756577659317114,0.27561221641352696,0.8238134136078525,1.0081600382386193,3.147951972569982,3.0,0.06256862312722118,0.06256862312722118
ECB longer term,all (equal year weight),2010–14,5,20,1.7747845644802716,0.7756577659317114,0.27561221641352696,0.8238134136078525,1.0081600382386193,3.147951972569982,4.0,0.004832105330413139,0.004832105330413139
ECB longer term,all (equal year weight),2010–14,5,20,1.7747845644802716,0.7756577659317114,0.27561221641352696,0.8238134136078525,1.0081600382386193,3.147951972569982,5.0,0.0,0.004832105330413139
ECB longer term,all (equal year weight),2010–14,5,20,1.7747845644802716,0.7756577659317114,0.27561221641352696,0.8238134136078525,1.0081600382386193,3.147951972569982,10.0,0.0,0.004832105330413139
ECB longer term,all (equal year weight),2015–19,5,20,1.6117317638198638,0.7971452679330724,0.303608759061996,0.8540776584559447,0.9956799119263596,2.9979362198350166,3.0,0.04874239461805864,0.04874239461805864
